HCl (M)	R	Conc1	Conc2	Conc3
0,5	208,333333333333	1	0	0
0,75	312,5	0,904281974861808	0	0,0957180251381923
1	416,666666666667	0,80080958739268	0	0,19919041260732
1,5	625	0,619337342446625	0	0,380662657553375
2	833,333333333333	0,431089743909905	0	0,568910256090095
2,5	1041,66666666667	0,329408448296184	0	0,670591551703816
3	1250	0,262619844914396	0,0380839069800827	0,699296248105522
3,5	1458,33333333333	0,17022103188746	0,087305162973459	0,742473805139081
4	1666,66666666667	0,0948767516065111	0,129267063067591	0,775856185325898
4,5	1875	0,0349443696289123	0,188769676555168	0,776285953815919
5	2083,33333333333	0,0117498727949987	0,249439698516806	0,738810428688196
5,5	2291,66666666667	0	0,832684624391851	0,167315375608149
6	2500	0	0,870567012779895	0,129432987220105
6,5	2708,33333333333	0	0,960089814180717	0,0399101858192832
7	2916,66666666667	0	0,972542892014837	0,0274571079851634
7,5	3125	0	1	0
8	3333,33333333333	0	1	0
8,5	3541,66666666667	0	1	0
9	3750	0	1	0
10	4166,66666666667	0	1	0
11	4583,33333333333	0	1	0
12	5000	0	1	0
